url,label
https://www.antaranews.com/berita/2834605/studi-baru-temukan-sekitar-30-persen-pasien-alami-long-covid,Humaniora
https://www.antaranews.com/berita/2834385/ri-dorong-g20-bentuk-mekanisme-pelaporan-indikator-gender-dalam-bisnis,G20 Indonesia
https://www.antaranews.com/berita/2834509/unhas-buka-dua-prodi-fakultas-kedokteran-gigi,Humaniora
https://www.antaranews.com/berita/2834337/bi-pertumbuhan-kredit-baru-triwulan-i-2022-tetap-terjaga,Ekonomi
https://www.antaranews.com/berita/2834465/demar-derozan-pimpin-bulls-samakan-kedudukan-atas-bucks,Playoff NBA
https://otomotif.antaranews.com/berita/2834553/mercedes-benz-v-250-avantgarde-line-siap-temani-para-sultan-mudik,Otomotif
https://ramadhan.antaranews.com/berita/2834601/ketum-pbnu-ajak-masyarakat-agar-tak-ragu-vaksinasi-saat-puasa,Politik
https://www.antaranews.com/berita/2834381/dian-sastro-ajak-perempuan-lebih-percaya-diri-dengan-rambut,Lifestyle
https://www.antaranews.com/berita/2834501/kolonel-priyanto-dituntut-penjara-seumur-hidup,Hukum
https://www.antaranews.com/berita/2834329/sekjen-pbb-minta-putin-dan-zelensky-bertemu-dengannya-di-moskow-dan-kiev,Dunia
https://www.antaranews.com/berita/2834461/oknum-polisi-yang-ditembak-di-sukoharjo-ternyata-pelaku-pemerasan,Hukum
https://www.antaranews.com/video/2834549/iriana-sebut-perempuan-berkontribusi-dorong-pemulihan-akibat-pandemi,Video
https://www.antaranews.com/berita/2834597/rsms-purwokerto-salurkan-bantuan-paket-sembako-dari-perbankan,Humaniora
https://www.antaranews.com/foto/2834377/amankan-jalur-mudik-basarnas-gelar-simulasi-penyelamatan-di-selat-sunda,Foto
https://www.antaranews.com/berita/2834497/anies-akan-shalat-id-di-jis,Metro
https://www.antaranews.com/berita/2834333/satelit-beidou-genjot-dukungan-teknis-bagi-industri-ponsel-pintar-china,Ekonomi
https://otomotif.antaranews.com/berita/2834457/cake-hadirkan-tiga-varian-sepeda-sala-satunya-ada-sepeda-listrik,Otomotif
https://www.antaranews.com/berita/2834545/ekonom-dampak-ekonomi-dari-perang-rusia-ukraina-ke-ri-relatif-kecil,Ekonomi
https://www.antaranews.com/berita/2834373/britcham-diketuai-wni-untuk-pertama-kalinya-dalam-42-tahun,Ekonomi
https://www.antaranews.com/berita/2834493/indonesia-dorong-transisi-energi-secara-komprehensif,G20 Indonesia
https://www.antaranews.com/berita/2834325/soal-penghapusan-wajib-masker-departemen-kehakiman-as-akan-banding,Dunia
https://www.antaranews.com/berita/2834453/bei-dorong-peningkatan-kesetaraan-gender-di-pasar-modal-indonesia,Ekonomi
https://www.antaranews.com/berita/2834541/cegah-parsel-kedaluwarsa-tim-gabungan-palembang-lakukan-pengawasan,Humaniora
https://www.antaranews.com/berita/2834537/kartini,Artikel
https://otomotif.antaranews.com/berita/2834369/lexus-recall-nx-2022-karena-masalah-las-sambungan-logam,Otomotif
https://www.antaranews.com/berita/2834365/pakar-unair-khofifah-layak-tokoh-wanita-hebat-karena-menginspirasi,Politik
https://www.antaranews.com/berita/2834321/bappenas-industri-pengolahan-akan-jadi-penggerak-ekonomi-tahun-2023,Ekonomi
